Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 2 for remote forward to localhost:5173
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
https://cwitn-49-207-132-187.run.pinggy-free.link
https://ywplm-49-207-132-187.free.pinggy.net

RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 4294967295               
RB: 0, SB: 0, TC: 2, AC: 0               
RB: 0, SB: 0, TC: 2, AC: 4294967295               
RB: 0, SB: 0, TC: 3, AC: 0               
RB: 0, SB: 0, TC: 3, AC: 0               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 2280, SB: 1262, TC: 3, AC: 3               
RB: 3041, SB: 1262, TC: 3, AC: 3               
RB: 3041, SB: 1262, TC: 3, AC: 3               
RB: 3041, SB: 1262, TC: 3, AC: 3               
RB: 3041, SB: 1262, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 3833, SB: 118976, TC: 3, AC: 3               
RB: 8518, SB: 136939, TC: 6, AC: 6               
RB: 8518, SB: 136939, TC: 6, AC: 6               
RB: 8518, SB: 136939, TC: 6, AC: 6               
RB: 8518, SB: 136939, TC: 6, AC: 6               
RB: 8518, SB: 136939, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
RB: 9299, SB: 712653, TC: 6, AC: 6               
