Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 6 for remote forward to localhost:5173
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
https://lkdha-49-207-132-187.free.pinggy.net
https://vpllj-49-207-132-187.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 4294967295               
RB: 0, SB: 0, TC: 2, AC: 0               
RB: 0, SB: 0, TC: 2, AC: 4294967295               
RB: 0, SB: 0, TC: 3, AC: 0               
RB: 0, SB: 0, TC: 3, AC: 0               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 756, SB: 0, TC: 1, AC: 1               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 3057, SB: 244091, TC: 3, AC: 3               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
RB: 8612, SB: 1030022, TC: 6, AC: 6               
